JointAxes_data.tx,JointAxes_data.ty,JointAxes_data.tz,JointAxes_data.rx,JointAxes_data.ry,JointAxes_data.rz
-0.207059951,0.032277488,0.045004188,-7.015225175,-35.77673476,76.18136212
-0.201873727,0.041714888,0.034240167,-7.989113478,-36.96833261,76.4381719
-0.193145614,0.052509668,0.023687336,-8.923647733,-38.12436876,76.48896523
-0.186325524,0.057775129,0.021619926,-9.792593,-39.29249716,76.77617606
-0.185997465,0.057141283,0.026479609,-10.72458617,-40.50370701,77.59750809
-0.190193354,0.052804276,0.034545262,-11.18112046,-41.62811561,78.42373124
-0.187989707,0.043925122,0.042226849,-10.45569893,-42.52122398,78.41310664
-0.17670951,0.033820677,0.050776397,-9.08379234,-43.22112737,77.63025076
-0.16650096,0.032021241,0.058153719,-8.671666554,-43.93207749,77.1432402
-0.165342847,0.041037326,0.057473155,-9.977419673,-44.78332066,77.69383697
-0.171190647,0.053442639,0.051192339,-11.98499142,-45.63900827,78.7638398
-0.171181219,0.061586756,0.042601244,-13.18879977,-46.28762567,79.2692872
-0.159666358,0.065057641,0.034357321,-13.30193577,-46.69398128,78.96119193
-0.147646431,0.067576372,0.031382178,-13.26142784,-47.02212199,78.70900398
-0.14666285,0.069579146,0.033896204,-13.83560075,-47.45679204,79.34167679
-0.158579263,0.069318558,0.041683324,-14.8365057,-47.9987629,80.67557682
-0.173574605,0.066538455,0.051130563,-15.69225283,-48.53818267,81.9138462
-0.180129662,0.06457413,0.055436505,-16.3109044,-49.04098308,82.66286698
-0.177590495,0.06721189,0.053921288,-17.00639977,-49.55896023,83.13164532
-0.170322617,0.072847574,0.049727601,-17.76422391,-50.12870172,83.45188416
-0.158155522,0.076815546,0.044099156,-18.08685603,-50.72099677,83.31575659
-0.141327006,0.07777059,0.038978247,-17.67042368,-51.29115896,82.51568801
-0.128047552,0.077793556,0.038877703,-16.96917888,-51.86116279,81.59546383
-0.126526816,0.077776978,0.042711285,-16.86326602,-52.52971592,81.51773997
-0.1363129,0.078400772,0.04611115,-17.73464677,-53.33139426,82.5467697
-0.148800262,0.080551637,0.048867253,-18.96476454,-54.16067924,83.82450387
-0.155071611,0.080514697,0.052310807,-19.60254736,-54.90751141,84.4368089
-0.157557911,0.073716492,0.060130117,-19.6002678,-55.55780312,84.64757363
-0.163473241,0.062159575,0.072233864,-19.88786429,-56.17459758,85.42925681
-0.172587072,0.055708845,0.082489349,-21.04212601,-56.79578706,86.91318947
-0.176670451,0.060314229,0.084730664,-22.37565542,-57.39905855,88.05320534
-0.170210374,0.06858781,0.079059981,-22.75145311,-57.95156617,87.971783
-0.160542663,0.071478098,0.074320861,-22.10885882,-58.42307569,87.13842889
-0.155976373,0.069418862,0.073594545,-21.72207985,-58.85281678,86.88596596
-0.154641188,0.072763152,0.070618,-22.85970933,-59.32293336,87.94413999
-0.149100013,0.088985545,0.062760512,-25.30514012,-59.83526033,89.63613375
-0.133577731,0.108534658,0.052403606,-27.36884664,-60.33968872,90.52479643
